latitude,longitude,MQ135 value 0-1024,CO ppm
51.5015525817,0.0050466003,189,0.19730279
51.5015525817,0.0050482997,191,0.20763668
51.5013580322,0.0050482997,166,0.11790161
51.5015525817,0.0050500001,187,0.1878068
51.5015373229,0.0050515995,169,0.109278835
51.5042648315,0.0050533003,187,0.20559728
51.5015449523,0.0050550007,184,0.17165734
51.5013427734,0.0050550007,171,0.12848261
51.501335144,0.0050550007,174,0.13846219
51.5013275146,0.0050566005,175,0.14967775
51.5015449523,0.0050583,180,0.15398894
51.5015373229,0.0050583,178,0.1446159
51.5013084411,0.0050600004,180,0.15885285
51.5015449523,0.005065,175,0.14834051
51.5042572021,0.0050665998,192,0.20861106
51.5013008117,0.0050683002,177,0.14892922
51.5012931823,0.0050750007,176,0.14107893
51.5012779235,0.0050783004,173,0.12325415
51.5042381286,0.0050799999,188,0.19779481
51.5012702941,0.0050799999,166,0.103853084
51.5012626647,0.0050850005,162,0.09553495
51.5012435913,0.0050850005,160,0.09039529
51.5012359619,0.0050916004,158,0.08603546
51.5042304992,0.0050966,189,0.21067415
51.5042228698,0.0051100006,191,0.20296969
51.5042152404,0.0051283001,189,0.20051834
51.5041999816,0.0051450004,190,0.20417918
51.5011634826,0.0051516003,158,0.09135187
51.5041923522,0.0051582999,188,0.19779481
51.5011558532,0.0051582999,162,0.09757021
51.5011405944,0.0051665997,161,0.09645078
51.5041732788,0.0051715998,188,0.19075535
51.501132965,0.0051766004,160,0.089682996
51.5011215209,0.0051850004,158,0.08626474
51.5041656494,0.0051883006,185,0.18326645
51.50415802,0.0052066001,186,0.17104223
51.5041503906,0.0052250003,179,0.14473115
51.5041351318,0.0052400007,174,0.1363967
51.5041275024,0.0052566003,174,0.1353002
51.5010490417,0.0052699999,160,0.09642297
51.5041160583,0.0052733001,170,0.13151772
51.5010414123,0.0052799997,162,0.10107691
51.5041084289,0.0052883005,174,0.14407897
51.5010261535,0.0052916002,163,0.104089566
51.5010185241,0.0053015999,166,0.11132361
51.5041007995,0.0053033008,179,0.15390818
51.5010108947,0.0053150005,167,0.10894093
51.5040931701,0.0053200001,179,0.15765636
51.5009918212,0.0053266,165,0.10720334
51.5040855407,0.005335,178,0.14362015
51.5009841918,0.0053400001,170,0.12383037
51.5040779113,0.0053483004,174,0.14066519
51.5040702819,0.0053600001,176,0.15728657
51.5009613037,0.0053682999,170,0.12893772
51.5040626525,0.005375,179,0.14635248
51.5009536743,0.0053850002,173,0.13302054
51.5040512084,0.0053883004,174,0.13702108
51.5018081665,0.0053883004,249,0.76550776
51.5018081665,0.0053883004,248,0.73978657
51.5017967224,0.0053883004,245,0.7159957
51.5017967224,0.0053883004,240,0.65055674
51.5017967224,0.0053900003,240,0.6325717
51.5018081665,0.0053916001,253,0.7925355
51.5018081665,0.0053916001,251,0.77892774
51.5017967224,0.0053916001,236,0.63443935
51.5017967224,0.0053933,232,0.5393558
51.5017967224,0.0053933,232,0.5459576
51.5018081665,0.0053950004,225,0.4750919
51.5018081665,0.0053950004,218,0.39330208
51.5017967224,0.0053950004,238,0.5270957
51.5017967224,0.0053950004,234,0.48426503
51.5017967224,0.0053950004,229,0.5269882
51.5018081665,0.0053965997,221,0.4259043
51.5040512084,0.0054016008,173,0.13831379
51.5009422302,0.0054033002,174,0.13857357
51.5040435791,0.0054166007,175,0.15019156
51.5009422302,0.0054166007,174,0.14107893
51.5040359497,0.0054299998,179,0.17077905
51.5009269714,0.0054299998,175,0.13905683
51.5018310546,0.0054316,218,0.38494778
51.5018463134,0.0054433002,228,0.47558683
51.5040283203,0.0054449996,184,0.18234129
51.500919342,0.0054550004,173,0.13219588
51.5040130615,0.00546,186,0.18494126
