latitude,longitude,sound peak
51.5009841918,0.0039833002,1
51.5009765625,0.0039600002,13
51.5009689331,0.0039483003,1
51.5009536743,0.0039333,9
51.5009536743,0.0039116001,1
51.5009422302,0.0039066001,1
51.5009346008,0.0038949999,1
51.5009269714,0.0038882999,1
51.500919342,0.003875,4
51.5009117126,0.0038666005,1
51.5009040832,0.0038482999,1
51.5009040832,0.0038400001,1
51.5008964538,0.0038282995,1
51.5008964538,0.0038250002,0
51.5008888244,0.003815,1
51.5008888244,0.0038116002,1
51.5008888244,0.0038100002,1
51.5008773803,0.0037950003,1
51.5008697509,0.0037750003,2
51.5008621215,0.0037650003,0
51.5008621215,0.0037365999,3
51.5008544921,0.0037249999,1
51.5008544921,0.0037116003,1
51.5008468627,0.0036866002,0
51.5008392333,0.0036716003,1
51.5008392333,0.0036565999,1
51.500831604,0.0036433,3
51.5008201599,0.0036216001,2
51.5008125305,0.0036016001,2
51.5008049011,0.0035915999,1
51.5007972717,0.0035750002,1
51.5007896423,0.003565,3
51.5007896423,0.0035566,3
51.5007820129,0.0035466001,4
51.5007820129,0.003535,3
51.5007667541,0.0035266005,2
51.50075531,0.0035165998,1
51.5007476806,0.0035016,1
51.5007476806,0.0034915997,1
51.5007400512,0.00348,7
51.5007400512,0.0034716005,7
51.5007400512,0.0034600005,5
51.5007476806,0.0034450001,1
51.50075531,0.0034415996,6
51.5007743835,0.0034450001,1
51.5007820129,0.0034249997,0
51.5007972717,0.0033982996,0
51.5008049011,0.0033850002,0
51.5008201599,0.0033800003,0
51.500831604,0.0033732998,2
51.5008468627,0.0033616003,3
51.5008544921,0.0033599998,1
51.5008621215,0.0033316001,0
51.5008697509,0.003325,0
51.5008773803,0.0033183002,0
51.5008888244,0.003305,0
51.5008888244,0.0032832999,0
51.5008964538,0.0032665996,0
51.5009040832,0.0032649998,0
51.5009117126,0.0032333002,3
51.5009117126,0.0032200002,1
51.5009269714,0.0032032999,1
51.5009346008,0.0032032999,1
51.5009536743,0.0032016003,0
51.5009613037,0.0031965999,3
51.5009765625,0.0031965999,0
51.5010108947,0.0034199998,53
51.5010337829,0.0034915997,27
51.5010414123,0.0035416004,36
51.5010566711,0.0035616004,1
51.5010757446,0.0035633001,1
51.501083374,0.0035599999,3
51.5010910034,0.0035599999,2
51.5010986328,0.0035583,3
51.5011138916,0.003555,18
51.5011215209,0.0035466001,31
51.501132965,0.003535,34
51.5011482238,0.0035233001,5
51.5011482238,0.0035116002,2
51.5011558532,0.0035016,3
51.5011558532,0.0034949998,2
51.5011634826,0.0034832999,2
51.501171112,0.0034766004,3
51.5011787414,0.0034666001,4
51.5011863708,0.0034550004,1
51.5011978149,0.0034433004,1
51.5012054443,0.0034350001,2
