latitude,longitude,light,sound average,sound peak,MQ9 gas average,people
51.5029640197,0.0060532999,15,45.13,337,515.54,0
51.5029449462,0.0060616006,16,45.58,306,513.3,1
51.5029945373,0.0060866003,16,40.94,294,517.63,0
51.5030517578,0.0061182999,16,42.98,325,515.66,0
51.503036499,0.0061300001,15,37.68,297,514.12,0
51.5030174255,0.0061433005,13,39.57,309,514.61,0
51.5030021667,0.0061565999,14,37.65,370,514.29,0
51.5029792785,0.0061733002,14,42.9,336,516.84,0
51.5029716491,0.0061865997,14,43.09,314,516.21,0
51.5029640197,0.0061983003,14,40.21,337,516.57,0
51.5029640197,0.0062133002,14,38.61,268,516.59,0
51.5029449462,0.0062300004,15,41.89,317,515.47,0
51.5029716491,0.0062600002,14,42.03,308,514.37,0
51.503036499,0.0062983007,14,30.78,295,516.72,0
51.5030441284,0.0063233003,15,37.28,316,515.73,0
51.5030441284,0.0063432998,15,38.61,322,514.27,0
51.5030441284,0.0063650007,15,36.86,316,514.55,0
51.5030441284,0.0063800001,15,38.81,325,514.57,0
51.5030441284,0.0063882999,15,37.53,348,514.95,0
51.5030441284,0.0063999996,15,39.5,306,513.88,0
51.5030441284,0.0064133,15,37.24,346,517.18,0
51.5030441284,0.0064249997,15,40.69,342,515.06,0
51.5030441284,0.0064400005,15,38.29,304,513.21,0
51.5030441284,0.0064616003,15,37.48,326,519.05,0
51.503036499,0.0064783005,15,38.68,338,517.52,0
51.503036499,0.0064916009,16,42.74,335,517.36,0
51.5030288696,0.0065050001,16,33.5,321,510.84,0
51.5030288696,0.0065182995,15,39,325,517.31,0
51.5030174255,0.0065299997,15,37.52,337,515.42,0
51.5030174255,0.0065433001,14,41.71,304,458.57,1
51.5030097961,0.0065600004,15,40.71,333,514.23,0
51.5030021667,0.0065750002,15,43.23,325,518.74,0
51.5029945373,0.0065883007,15,41.94,312,514.65,0
51.5029869079,0.0066000008,15,38.69,321,512.13,0
51.5029869079,0.0066100001,14,42.09,332,514.74,0
51.5029869079,0.0066200008,14,39.69,356,516.69,0
51.5029792785,0.0066300005,15,37.38,403,517.61,0
51.5029792785,0.0066415996,15,39.33,357,514.33,0
51.5029716491,0.0066565999,15,37.76,342,516.01,0
51.5029869079,0.0066683001,14,44.59,309,518.21,0
51.5029792785,0.0066799998,14,39.61,342,512.88,0
51.5029945373,0.0066882996,14,43.33,401,517.45,0
51.5030288696,0.0066950011,14,43.72,339,518.76,0
51.5030288696,0.0066965999,14,41.59,299,515.87,0
51.5030441284,0.00671,15,42.48,329,516.24,0
51.5030517578,0.0067250003,14,39.98,314,514.87,0
51.50308609,0.0067483005,15,40.52,295,514.03,0
51.5031089782,0.0067700004,15,42.71,313,515.88,0
51.503124237,0.0067866001,14,38.53,342,514.36,0
51.5031509399,0.0067983002,14,40.96,319,514.39,0
