latitude,longitude,MQ135 value 0-1024,CO ppm
51.5021820068,0.0057082996,222,0.4347737
51.5018882751,0.0054966001,222,0.547729
51.5018730163,0.0054682998,222,0.44982
51.5029792785,0.0060650005,221,0.41843
51.5028419494,0.0060132999,221,0.42004195
51.5027732849,0.0059082994,221,0.42210877
51.5018081665,0.0053965997,221,0.4259043
51.5031394958,0.0060349998,220,0.41141334
51.503124237,0.0060315999,220,0.41318077
51.5031166076,0.0060349998,220,0.39972666
51.5029640197,0.0060599999,220,0.40965196
51.5022773742,0.0056965999,220,0.3944096
51.5031967163,0.0060349998,219,0.4040559
51.5031814575,0.0060416007,219,0.40483925
51.502784729,0.0059033002,219,0.38244432
51.5021553039,0.0057016,219,0.48065904
51.5032463073,0.0060215997,218,0.3968897
51.5032081604,0.0060266008,218,0.40249303
51.5029525756,0.0060583,218,0.38427895
51.5018310546,0.0054316,218,0.38494778
51.5018081665,0.0053950004,218,0.39330208
51.5033454895,0.0061416001,217,0.37648904
51.5033454895,0.0061565999,217,0.38754845
51.5033187866,0.0060850005,217,0.3855338
51.5032310485,0.0060199999,217,0.38377804
51.5032234191,0.0060233001,217,0.3876324
51.5031089782,0.0060400004,217,0.3821115
51.5030746459,0.0060500001,217,0.3863722
51.5030670166,0.0060515999,217,0.38595286
51.5022964477,0.0057016,217,0.3876324
51.5033187866,0.0060733003,216,0.37085143
51.5030517578,0.0060532999,216,0.3818622
51.5029945373,0.0060716004,216,0.40763363
51.5028495788,0.0060132999,216,0.40310034
51.5033378601,0.0061033,215,0.36971593
51.5033378601,0.0061200003,215,0.36608425
51.5033302307,0.0061766004,215,0.36737245
51.5033111572,0.0062199997,215,0.3609689
51.5032958984,0.0062366003,215,0.37077025
51.5032730102,0.0062550001,215,0.37085143
51.5032615661,0.0062683,215,0.37101385
51.5030937194,0.0060450005,215,0.37583208
51.5030288696,0.0060665998,215,0.36528155
51.5029067993,0.0060315999,215,0.35946113
51.5033454895,0.0061715993,214,0.37607837
51.5033187866,0.0061883001,214,0.3705267
51.5033035278,0.0060599999,214,0.35969892
51.5032615661,0.0060300006,214,0.36979696
51.5032386779,0.0062815999,214,0.36963493
51.5032310485,0.0062983007,214,0.3580375
51.5032157897,0.0063116006,214,0.36272076
51.503036499,0.0060599999,214,0.36616477
51.5029449462,0.0060550003,214,0.36496046
51.5029296875,0.0060532999,214,0.36232206
51.502872467,0.0060166001,214,0.3538715
51.5027275085,0.0058732995,214,0.36464003
51.5026855468,0.0058500003,214,0.35961974
51.5024909973,0.0057715997,214,0.3683407
51.5024261474,0.0057466001,214,0.35954058
51.5024070739,0.0057433004,214,0.35145295
51.5022125244,0.0057066006,214,0.3652013
51.5032958984,0.0060500001,213,0.34750238
51.5032081604,0.006335,213,0.35977802
51.5030021667,0.0060599999,213,0.35551745
51.5029144287,0.0060383005,213,0.3578006
51.5028572082,0.0060150003,213,0.35669693
51.5027656555,0.0058916001,213,0.35598904
51.502708435,0.0058616008,213,0.36120734
51.5026626586,0.0058416004,213,0.35301182
51.5026359558,0.0058300008,213,0.34703985
51.5024757385,0.0057632999,213,0.33406514
51.5033302307,0.0062066006,212,0.3537934
51.5032730102,0.0060366001,212,0.34335798
51.5031967163,0.0063515996,212,0.35215372
51.5030021667,0.0060650005,212,0.3520757
51.5027503967,0.0058833003,212,0.36472
51.5025405883,0.0057915997,212,0.3234417
51.5022315979,0.0056983003,212,0.38855892
51.5021896362,0.0057100005,212,0.34703985
51.5031890869,0.0063733005,211,0.34099677
51.5031738281,0.0063950004,211,0.33940458
51.5031661987,0.0064082994,211,0.33940458
51.502784729,0.0058983001,211,0.3457324
51.5026130676,0.0058200001,211,0.3281295
51.5031509399,0.006420001,210,0.33428952
51.5031394958,0.0064383001,210,0.3319037
51.5025138854,0.0057833003,210,0.34206152
51.5023841857,0.0057383003,210,0.33571243
51.503124237,0.0064516,209,0.33034545
51.5025634765,0.0058032999,209,0.32990116
51.502456665,0.0057616,209,0.35606757
